setting,random_seed,sample_id,roi_index,peak_time_us,peak_y_px,peak_x_px,positive_events,negative_events,total_events,spline_start_relative_ms,spline_stop_relative_ms,roi_first_event_relative_ms,roi_last_event_relative_ms
Default,50647,1,15436,38561364,380,452,105,48,153,-2.6068266898617147,0.3896468358039856,-4.985,4.995
Default,50647,2,13733,34301415,576,783,147,70,217,-2.0771538588926197,0.31303906508535145,-4.9750000000000005,4.964
Default,50647,3,17460,43601408,398,742,126,66,192,-2.208245246894658,2.209375957220793,-4.986,4.993
Default,50647,4,11593,28961399,380,451,115,48,163,-2.676053359683603,0.4084357707500458,-4.984,4.9830000000000005
Default,50647,5,19445,48541413,576,783,143,71,214,-2.012463184088469,0.302321017883718,-4.986,4.995
Maximum,50648,1,17779,44285535,113,693,66,28,94,-5.598373052656651,5.594012675188482,-5.694,5.569
Maximum,50648,2,6781,16945164,402,741,83,54,137,-3.3156096725314854,3.295154114779085,-4.8790000000000004,4.9510000000000005
Maximum,50648,3,20782,51785155,383,451,80,42,122,-3.7295593597963452,3.7274070333093405,-4.938,4.82
Maximum,50648,4,20134,50165177,172,365,59,31,90,-5.167113067269326,5.185720429554582,-5.117,4.984
Maximum,50648,5,9441,23565171,175,471,72,40,112,-3.9357118457742035,3.955083002865315,-4.958,4.979
